Time,ECG
0.0,1.0198071205071695
0.002,0.8804971292074344
0.004,1.047255761983842
0.006,0.9242131931231816
0.008,0.5657411723781018
0.01,0.7358985794168068
0.012,0.4915373338088633
0.014,0.20034000118784825
0.016,0.24338083491248957
0.018000000000000002,0.2925795253469632
0.02,0.06175774663620047
0.022,-0.08294586365909686
0.024,-0.02585444429856909
0.026000000000000002,-0.1786617352064792
0.028,-0.06202696319918241
0.03,-0.25840299067748806
0.032,-0.14629943194245926
0.034,-0.20589068710210645
0.036000000000000004,-0.13586089025108872
0.038,-0.01308874448081173
0.04,0.006411988196665407
0.042,0.057805842032500464
0.044,-0.016949005635201717
0.046,-0.0003739311595317155
0.048,0.04572094089240512
0.05,0.14818613805661437
0.052000000000000005,0.12582471532082048
0.054,0.010610178348673904
0.056,-0.1311821402807378
0.058,-0.04916279821810447
0.06,0.03345997166536719
0.062,0.05959093853779629
0.064,-0.1392837621224809
0.066,-0.017597086734560514
0.068,0.05059401249568977
0.07,0.026221113913553133
0.07200000000000001,-0.11229871048971526
0.074,0.0730271076354552
0.076,0.03270598185329872
0.078,-0.012275000707828533
0.08,0.11624830108502207
0.082,-0.062238079122527754
0.084,0.12142739317798883
0.08600000000000001,-0.0989776113883866
0.088,-0.03908337993996007
0.09,-0.2217488294372673
0.092,0.016063915636430323
0.094,-0.04801300819550003
0.096,0.045373837953199575
0.098,0.06891053350633826
0.1,-0.002711810873017851
0.10200000000000001,-0.024244297928660955
0.10400000000000001,-0.009787875473750735
0.106,0.013804187250840582
0.108,0.001694876037955019
0.11,0.07025754242237128
0.112,0.04464788174070594
0.114,-0.07593446292863286
0.116,-0.016324522590408626
0.11800000000000001,-0.03376294968967938
0.12,-0.1557195581290747
0.122,0.06236776792363077
0.124,0.12237014314300494
0.126,0.07966246261416973
0.128,0.12414342004546176
0.13,0.040628254728977485
0.132,0.05918566532789846
0.134,0.21341305237693076
0.136,0.08900221267037649
0.138,0.18407131368230867
0.14,0.025048250752926632
0.14200000000000002,0.05813640097926345
0.14400000000000002,0.14772471043537183
0.146,0.06445304760082046
0.148,0.12133289838129321
0.15,0.10749271205005431
0.152,0.16590080450918865
0.154,0.38828316299667454
0.156,0.2118824202154044
0.158,0.1140249986512677
0.16,0.15885811286843654
0.162,0.11530472229643159
0.164,0.45458243722013314
0.166,0.19270653689887204
0.168,0.3023905050279935
0.17,0.31728912711068985
0.17200000000000001,0.3615992866771773
0.17400000000000002,0.23190701678400136
0.176,0.32501365932752
0.178,0.2242158089719309
0.18,0.2743014547470962
0.182,0.40465485402294393
0.184,0.1516950584156444
0.186,0.47430815771402196
0.188,0.3216424861654111
0.19,0.3985277707400229
0.192,0.3105671072907497
0.194,0.27517392546100183
0.196,0.2876636029270922
0.198,0.1782636899878703
0.2,0.33059875380781917
0.202,0.41211337664509784
0.20400000000000001,0.3098284998901762
0.20600000000000002,0.37106604814954247
0.20800000000000002,0.40494062631617567
0.21,0.35766994404154645
0.212,0.3565316882035287
0.214,0.44615763392695995
0.216,0.4353989234138587
0.218,0.326936574245938
0.22,0.41066287755221653
0.222,0.3314166381965019
0.224,0.3112092026731366
0.226,0.2693268894210747
0.228,0.24085636403102234
0.23,0.41090395087059706
0.232,0.26671739461957406
0.234,0.28167138275399434
0.23600000000000002,0.2649108574076101
0.23800000000000002,0.27628764658930427
0.24,0.2541038103183326
0.242,0.09852343087489145
0.244,0.2700893704713789
0.246,0.2300733557658767
0.248,0.21692414280458228
0.25,0.06874246309351185
0.252,0.1837128835584122
0.254,0.12981733240533977
0.256,0.24943113998099553
0.258,0.04253006239968807
0.26,0.15032074035445891
0.262,0.06853020925209317
0.264,0.2920947723337188
0.266,0.3422967302872828
0.268,-0.047313023246746536
0.27,0.1073667005283942
0.272,-0.005282364722753619
0.274,0.2504661184314139
0.276,-0.05096175610244148
0.278,0.02497310963031425
0.28,0.23317958912740314
0.28200000000000003,0.20347462726642507
0.28400000000000003,-0.07464383895556928
0.28600000000000003,0.004402799167914962
0.28800000000000003,0.007561453324506872
0.29,-0.017550995591984975
0.292,-0.03322160367496824
0.294,0.12256198625080936
0.296,0.020421649819909047
